;index;ID;SPECIES;ORIGIN_COUNTRY;LOT_NUMBER;ALTITUDE;ALTITUDE_UOM_NN;AROMA;FLAVOR;AFTERTASTE;ACIDITY;BODY;BALANCE;UNIFORMITY;CLEAN_CUP;SWEETNESS;CUPPER_POINTS;MOISTURE;CATEGORY_ONE_DEFECTS;COLOR;LOT_AVAILABILITY_KG
0;0;1;Arabica;Ethiopia;nan;1950-2200;m;8.67;8.83;8.67;8.75;8.5;8.42;10.0;10.0;10.0;8.75;0.12;0.0;Green;18000.0
1;1;2;Arabica;Ethiopia;nan;1950-2200;m;8.75;8.67;8.5;8.58;8.42;8.42;10.0;10.0;10.0;8.58;0.12;0.0;Green;18000.0
2;3;4;Arabica;Ethiopia;nan;1800-2200;m;8.17;8.58;8.42;8.42;8.5;8.25;10.0;10.0;10.0;8.67;0.11;0.0;Green;19200.0
3;4;5;Arabica;Ethiopia;nan;1950-2200;m;8.25;8.5;8.25;8.5;8.42;8.33;10.0;10.0;10.0;8.58;0.12;0.0;Green;18000.0
4;5;6;Arabica;Brazil;nan;nan;m;8.58;8.42;8.42;8.5;8.25;8.33;10.0;10.0;10.0;8.33;0.11;0.0;Bluish-Green;3000.0
5;6;7;Arabica;Peru;nan;nan;m;8.42;8.5;8.33;8.5;8.25;8.25;10.0;10.0;10.0;8.5;0.11;0.0;Bluish-Green;6900.0
6;9;10;Arabica;Ethiopia;nan;1795-1850;m;8.08;8.58;8.5;8.5;7.67;8.42;10.0;10.0;10.0;8.5;0.1;0.0;Green;3000.0
7;18;19;Arabica;China;YNC-06114;1450;m;8.42;8.25;8.08;8.17;7.92;8.0;10.0;10.0;10.0;8.42;0.1;0.0;Green;180.0
8;22;23;Arabica;Mexico;nan;1320;m;8.17;8.25;8.17;8.0;7.83;8.17;10.0;10.0;10.0;8.58;0.13;0.0;Green;14.0
9;24;25;Arabica;Ethiopia;nan;nan;m;8.42;8.17;7.92;8.17;8.33;8.0;10.0;10.0;10.0;8.08;0.11;0.0;Bluish-Green;6000.0
